SA3_ID,Region,Population,NumBusinesses,WeeklyIncome,UnemploymentRate
11202,Richmond Valley - Hinterland,71294,6348,643,7.9
21501,Grampians,59330,6920,664,5
30304,Nathan,40630,4039,975,7.6
30504,Brisbane Inner - West,59386,7783,1340,5.9
80111,Urriarra - Namadgi,617,47,1417,2
50903,Wheat Belt - South,20545,3043,802,4.9
60401,Burnie - Ulverstone,48581,2882,635,8
20603,Essendon,70367,6467,1119,6
11402,Southern Highlands,49059,5268,839,3.8
30101,Capalaba,74184,5810,950,6
30905,Mudgeeraba - Tallebudgera,34504,3095,937,5.6
50605,Kalamunda,59349,4403,981,7.1
20607,Yarra,94234,14384,1369,5.2
11603,Mount Druitt,115220,4826,755,9.2
50103,Manjimup,23021,2783,716,5.7
50703,Kwinana,40305,1554,882,10.8
80104,Gungahlin,72408,4093,1323,4.4
21201,Cardinia,97790,7486,864,5.5
10901,Albury,62504,5813,767,6.5
30703,Granite Belt,40664,4941,628,6.1
70201,Alice Springs,39718,2010,1098,9.6
11303,Wagga Wagga,95644,8623,787,5.4
12801,Cronulla - Miranda - Caringbah,114106,12685,1124,3.6
30402,Kenmore - Brookfield - Moggill,47388,4447,1263,6
11801,Eastern Suburbs - North,136152,20122,1665,3.6
10704,Wollongong,133292,9015,878,6.8
30909,Southport,61128,8619,761,8.9
31502,Outback - North,30688,2244,1130,6.5
40304,Onkaparinga,170376,8936,749,7.6
20801,Bayside,102737,13017,1303,4.6
31001,Forest Lake - Oxley,75209,4232,782,10
70204,East Arnhem,14802,200,1092,13.7
12303,Wollondilly,42215,3468,967,4.1
12702,Fairfield,193076,13748,639,10.4
60302,Huon - Bruny Island,19708,1426,639,6.3
70103,Litchfield,24923,1702,1271,3.9
11401,Shoalhaven,101617,6698,640,6.6
12002,Leichhardt,59540,7379,1646,4
10902,Lower Murray,12737,1482,701,5.4
31104,Jimboomba,46930,3254,960,6.1
60201,Launceston,83040,6004,711,7.7
51101,Esperance,16289,2020,858,4.7
12405,St Marys,55427,3116,870,6.9
30910,Surfers Paradise,42883,7304,875,7.7
40201,Gawler - Two Wells,34893,2114,776,7.6
21305,Wyndham,233138,13372,886,8.3
